PartnerId,CustomerId,AssetId,DeviceId,DeviceType,Platform,ContentType,PremiumContent
31-0501626,1469590,79-5210096,52.239.34.233/8,laptop,sony liv,Drama,NO
97-5291240,1203873,69-7903385,8.203.94.59/1,tab,sony liv,Drama|War,NO
12-9582033,1432761,52-8212093,166.42.28.141/1,tv,hotstar,Comedy,YES
81-0337938,1207582,48-3622447,153.177.169.192/11,mobile,hotstar,Documentary,YES
13-0884181,1674436,27-9405269,238.75.39.134/7,tab,sony liv,Adventure|Drama|Fantasy,NO
15-4303301,1213971,55-4903740,106.133.201.155/2,mobile,hotstar,Drama,YES
41-5410186,1428822,79-0489105,37.219.185.14/14,tv,sony liv,Drama,NO
53-1746053,1705739,38-3813568,153.100.122.61/21,mobile,sony liv,Drama|War,NO
58-3778550,1715169,29-7542524,159.190.166.32/31,tab,sony liv,Drama,NO
03-9082752,1722991,50-8327580,68.110.121.97/26,tv,hotstar,Crime|Drama|Mystery,YES
95-9407680,1719964,79-8648311,113.54.42.139/5,mobile,hotstar,Horror,YES
30-8962677,1818043,26-9174541,99.138.204.114/19,laptop,hotstar,Sci-Fi,YES
39-0110535,1231297,89-9995388,239.106.152.200/28,tv,sony liv,Action|Crime|Thriller,NO
97-6977814,1172292,08-8704513,228.189.142.113/12,mobile,hotstar,Comedy,YES
86-8769688,1154808,11-0595202,229.124.86.249/16,tab,hotstar,Crime|Drama|Mystery,YES
73-8449280,1648542,50-6550393,217.157.124.67/18,laptop,sony liv,Horror,NO
04-9540615,1193245,32-3923720,231.208.60.177/29,tv,sony liv,Adventure|Comedy|Thriller,NO
17-9928808,1740408,40-9893547,140.221.167.207/21,tv,sony liv,Comedy|Drama|Fantasy|Sci-Fi,NO
10-7187144,1250076,66-4010867,5.3.11.52/13,mobile,hotstar,Drama,YES
12-5820737,1616625,64-3956253,70.58.129.204/1,tv,hotstar,Action|Adventure|Drama|Romance|Western,YES
70-9390793,1428429,83-9705770,162.88.222.49/14,mobile,sony liv,Drama,NO
64-1218547,1272219,37-7949480,53.18.173.172/4,mobile,sony liv,Drama,NO
67-9823312,1771414,09-0803930,166.45.65.149/8,mobile,sony liv,Comedy,NO
91-1480874,1666563,70-0248750,156.8.45.228/14,tv,sony liv,Action|Comedy|Drama,NO
26-5304580,1847764,51-5950841,252.192.144.38/21,tv,hotstar,Drama|Romance,YES
43-8429379,1138996,80-1734583,84.118.120.108/29,tab,sony liv,Comedy,NO
03-8516698,1578742,99-4662443,186.210.78.28/9,tv,sony liv,Drama,NO
11-2435989,1709277,38-3792747,3.181.8.66/8,tv,hotstar,Action|Drama|Thriller,YES
52-9773936,1508823,39-8797856,4.108.63.219/20,tv,sony liv,Drama,NO
70-3907289,1323870,01-7395200,29.19.57.90/25,mobile,hotstar,Horror|War,YES
91-3101890,1414851,08-2170998,242.125.145.124/17,tv,sony liv,Action|Comedy,NO
15-5779116,1764281,22-7921388,78.161.150.131/16,tv,sony liv,Action|Adventure|Western,NO
71-8876760,1291798,88-4893439,245.137.99.249/17,tv,sony liv,Comedy,NO
42-6751414,1873969,50-1479541,11.146.235.115/7,mobile,hotstar,Drama|Romance,YES
42-4304716,1888210,30-3697972,204.115.250.112/26,tv,hotstar,Adventure|Comedy|Drama,YES
17-4755950,1547494,73-1603929,6.123.38.252/15,mobile,hotstar,Action|Comedy,YES
81-0637168,1674114,55-2601217,168.192.149.236/14,tv,sony liv,Comedy|Romance,NO
84-2045607,1330233,15-8214852,251.102.56.83/18,mobile,sony liv,Action|Crime,NO
37-1880143,1443666,39-1180795,135.48.22.199/12,tv,sony liv,Comedy|Horror,NO
06-8084221,1574283,68-9555650,9.3.23.99/25,mobile,sony liv,Comedy|Drama,NO
62-2436170,1866940,34-6491029,41.191.180.27/11,tab,hotstar,Adventure|Comedy|Musical|Romance|Western,YES
76-8357161,1188917,71-0628943,225.188.249.166/11,tv,sony liv,Action|Sci-Fi,NO
89-6782462,1491485,63-7581910,2.247.118.60/9,tab,sony liv,Comedy|Drama,NO
26-7648778,1381317,21-1667905,245.12.43.97/3,tv,hotstar,Drama,YES
19-1707999,1246402,91-4778816,45.51.165.81/10,mobile,sony liv,Comedy|Romance,NO
63-1801633,1641291,00-9823729,173.177.75.92/1,tv,hotstar,Comedy|Drama,YES
84-2281715,1716706,08-7418435,142.202.246.158/24,mobile,hotstar,Drama|Thriller,YES
14-3504616,1395153,82-7542774,4.101.102.7/13,tv,sony liv,Crime|Drama,NO
97-6490427,1697859,39-8053246,67.204.214.197/9,mobile,hotstar,Drama|Romance,YES
77-8133775,1193227,53-1548702,175.188.249.51/31,laptop,hotstar,Comedy|Musical,YES
27-6899785,1850736,28-5362735,123.163.158.229/7,tv,sony liv,Documentary,NO
75-3597206,1771270,56-7480504,236.194.152.222/26,tab,hotstar,Action|Adventure|Drama|War,YES
15-3788119,1840431,20-7059122,103.73.184.16/3,tv,sony liv,Drama|Romance,NO
10-6240462,1502325,49-8046837,24.97.127.58/23,tv,sony liv,Drama,NO
30-7554999,1151072,78-7832240,51.84.145.37/17,tv,sony liv,Animation|Children,NO
62-6524051,1875288,90-5973323,119.142.170.6/20,tab,sony liv,Drama,NO
76-3730235,1361963,90-8506898,147.23.213.248/5,tv,hotstar,Romance|Thriller,YES
98-9475255,1599723,02-7197763,132.31.50.75/23,mobile,hotstar,Horror|Thriller,YES
47-4456892,1438784,76-2731250,30.130.246.218/19,tv,hotstar,Drama,YES
79-7473443,1274604,73-1781914,84.160.109.0/25,tv,hotstar,Action|Mystery|Thriller,YES
28-9974803,1548860,05-6323042,219.146.147.216/10,tv,hotstar,Drama,YES
55-1033042,1570047,35-2844922,62.13.7.196/21,tv,sony liv,Western,NO
95-6513487,1825757,68-1960666,17.34.103.179/11,tab,sony liv,Adventure|Comedy|Western,NO
96-7552013,1304525,42-2617853,107.45.254.152/4,tv,hotstar,Drama,YES
84-0123835,1750074,99-3559248,33.51.80.230/12,mobile,sony liv,Documentary,NO
89-0303869,1134752,13-3634242,11.244.243.117/7,tv,sony liv,Thriller,NO
87-1466489,1505713,19-4561677,171.78.27.179/9,mobile,sony liv,Comedy,NO
84-4907101,1724003,40-3071041,141.33.203.254/8,mobile,sony liv,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,NO
08-4064640,1388519,40-4894316,235.46.192.252/12,tv,hotstar,Comedy|Romance,YES
47-9154992,1724882,58-1622010,25.70.60.192/5,tv,hotstar,Action|Drama|Sci-Fi,YES
12-8892523,1463336,53-2132845,164.47.66.69/20,tv,hotstar,Documentary,YES
38-6972474,1804919,28-7720800,90.3.150.207/20,tv,sony liv,Crime|Drama|Thriller,NO
52-8763210,1591747,73-0344351,7.219.177.12/19,tv,sony liv,Drama|Romance,NO
90-4566392,1743709,34-2836516,214.57.38.63/21,tv,hotstar,Comedy,YES
96-7809665,1472593,66-3164039,41.102.153.73/1,mobile,hotstar,Comedy,YES
04-9704224,1641977,71-1384174,214.14.172.180/13,tab,sony liv,Comedy|Documentary,NO
34-9927636,1649753,49-9879583,219.109.59.62/3,tv,sony liv,Children|Fantasy|Musical,NO
98-4854471,1149571,55-9779371,32.35.215.233/28,mobile,hotstar,Horror|Mystery,YES
67-1973481,1691240,48-4335666,34.125.54.73/26,tab,hotstar,Comedy|Drama,YES
78-6196498,1838961,33-6498882,162.128.41.119/10,tv,sony liv,Drama,NO
47-6422892,1403464,12-7379992,163.49.250.135/15,tv,sony liv,Action|Drama|Thriller,NO
84-2478897,1646022,61-4349877,39.209.147.198/11,laptop,hotstar,Drama|Musical|Romance,YES
35-7181278,1106801,64-6582968,151.137.1.62/9,tv,hotstar,Comedy|Romance,YES
63-3442095,1616296,33-7245482,218.122.212.91/30,tv,hotstar,Comedy|Drama,YES
47-3241376,1238277,05-8116048,204.25.77.240/2,tv,hotstar,Action|Drama|War,YES
74-6554130,1175457,37-0848351,96.9.185.194/14,tab,sony liv,Drama|Romance,NO
70-0612130,1576577,29-0994497,31.171.90.82/31,mobile,hotstar,Action|Thriller,YES
25-4499802,1586725,20-5204724,209.89.233.149/23,tv,sony liv,Crime|Drama|Romance|Thriller,NO
01-9005773,1660853,72-5402031,74.40.254.25/12,tv,sony liv,Comedy|Drama|Romance,NO
18-7848396,1132472,90-9417127,135.233.222.157/12,mobile,hotstar,Drama,YES
99-9599519,1368120,36-2237437,43.97.56.115/29,tab,hotstar,Comedy|Drama,YES
88-7173340,1403185,78-5755391,2.152.186.180/19,tv,sony liv,Drama,NO
42-1654885,1601892,51-0547227,195.185.183.195/26,tv,sony liv,Comedy,NO
44-3179712,1220273,71-3270046,111.51.3.65/13,tv,sony liv,Children|Comedy|Musical,NO
03-2496842,1713632,71-0640754,49.89.141.110/3,tv,hotstar,Thriller,YES
87-2949919,1416025,43-5677397,175.128.204.125/7,tab,hotstar,Comedy,YES
64-5379161,1610826,27-6338824,225.181.235.242/24,tv,sony liv,Romance,NO
94-7574246,1887006,94-2586627,37.185.50.95/26,tv,hotstar,Drama|Romance,YES
68-6119208,1570732,57-6651457,119.115.48.22/14,tv,hotstar,Documentary,YES
75-2970597,1617889,26-8093777,38.220.140.57/2,tv,sony liv,Comedy,NO
77-7815205,1318902,01-0955460,111.13.193.84/20,mobile,sony liv,Action,NO
73-9202121,1466716,41-2575010,250.181.136.224/31,mobile,hotstar,Documentary|War,YES
36-3732604,1621669,97-5672765,73.83.238.219/5,tv,sony liv,Comedy,NO
15-1829437,1901818,37-1897338,72.187.81.211/8,mobile,sony liv,Musical|Romance,NO
69-0873500,1114473,03-0994161,65.189.115.125/30,tab,sony liv,Comedy,NO
08-9814022,1514853,77-0409114,96.109.89.46/12,mobile,sony liv,Drama|Mystery|Thriller,NO
62-6801992,1645589,86-0800191,13.23.166.152/28,laptop,sony liv,Drama|Romance,NO
89-2588140,1504772,17-3428248,154.11.205.225/25,tab,hotstar,Drama|Romance,YES
51-2468377,1698579,32-7787644,75.69.192.35/12,tab,sony liv,Drama|Horror|Thriller,NO
90-4988793,1754975,45-1045340,92.233.47.2/15,tv,hotstar,Comedy|Romance,YES
55-8659150,1222155,41-8768191,116.69.244.2/1,tv,hotstar,Documentary,YES
94-9053582,1719636,82-0039777,54.55.36.37/6,tv,hotstar,Comedy|Romance,YES
93-2101944,1323966,96-7603348,50.164.53.204/24,mobile,hotstar,Action|Sci-Fi,YES
80-9878856,1683052,37-1598184,106.195.101.221/24,tab,sony liv,Comedy,NO
58-2804934,1405004,29-2753368,42.48.66.212/30,tv,hotstar,Drama,YES
32-6757636,1848791,58-7071643,115.126.118.133/5,tv,hotstar,Horror,YES
25-9919536,1229152,49-2774881,138.50.222.242/16,mobile,hotstar,Drama|Romance,YES
35-9617311,1206049,59-5508273,221.68.250.95/27,mobile,sony liv,(no genres listed),NO
99-2004260,1651983,40-4604940,116.210.111.35/7,tv,sony liv,Drama,NO
70-5175781,1357789,79-4727786,121.221.77.100/14,tab,sony liv,Children|Drama,NO
45-5627166,1506336,86-3024648,175.145.241.255/17,tv,hotstar,Action|Comedy,YES
35-4231213,1171493,91-3715042,189.215.3.145/23,mobile,sony liv,Action|Adventure|Drama|Romance|War,NO
71-5103509,1278346,57-4932718,45.7.143.250/28,tab,sony liv,Action|Adventure|Drama,NO
26-5519766,1852036,14-6030583,129.180.7.6/2,laptop,hotstar,Horror|Mystery,YES
66-1529762,1717438,75-0333795,181.27.218.121/4,mobile,hotstar,Action|Adventure|Animation|Fantasy,YES
11-4265364,1168894,77-8893770,12.59.56.71/16,tv,hotstar,Documentary,YES
88-8793978,1169906,84-5243456,32.200.86.171/4,tv,sony liv,Comedy,NO
