ContractId,CustomerId,ComplaintId,ContractDescription,ContractAmount,CurrencyCode,ContractEffectiveDate,ContractEndDate,ContractTerm,SLASchemeId,CustomerSegment,,,
32-8540983,1469590,759217,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,1500,INR,2019-11-22,2020-08-31,9 Months,#26db3a,Empty,,,
25-9229010,1203873,2141773,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,650,INR,2019-08-26,2020-06-18,10 Months,#0344fe,Empty,,,
78-7194379,1432761,2163100,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,350,INR,2021-05-02,2021-08-02,3 Months,#b3409b,Empty,,,
76-2104357,1207582,885638,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,350,INR,2020-11-27,2023-08-30,34 Months,#a6dcb3,Empty,,,
98-2263265,1674436,1027760,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,650,INR,2021-10-27,2022-07-24,9 Months,#5dcc6e,Empty,,,
86-9032533,1213971,596562,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,350,INR,2019-06-07,2021-01-29,20 Months,#a116b9,Empty,,,
02-1245598,1428822,1422680,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,950,INR,2020-05-31,2020-12-09,6 Months,#889a3b,Empty,,, 
96-7236495,1705739,1420702,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,1500,INR,2019-10-09,2022-08-03,34 Months,#69a301,Empty,,,
88-5550548,1715169,1654890,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,950,INR,2021-01-25,2022-09-24,20 Months,#674a68,Empty,,,
24-2668812,1722991,1079567,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,1500,INR,2020-08-16,2021-03-22,7 Months,#c31d3a,Empty,,,
22-1826143,1719964,2436165,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,950,INR,2021-08-04,2022-02-28,7 Months,#0bcd65,Empty,,,
57-6627507,1818043,42864,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,350,INR,2020-05-13,2021-06-23,14 Months,#8a46d3,Empty,,,
37-6086047,1231297,1772196,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,950,INR,2020-04-26,2022-09-12,29 Months,#d9c20b,Empty,,,
98-9936489,1172292,1184859,sapien placerat ante nulla justo aliquam quis turpis eget elit,950,INR,2021-05-25,2020-09-03,9 Months,#b3dc07,Empty,,,
47-9657230,1154808,357186,dui proin leo odio porttitor id consequat in consequat ut nulla,650,INR,2020-04-07,2020-04-25,1 Months,#ac1ed6,Empty,,,
54-4300627,1648542,2017178,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,350,INR,2021-08-30,2021-10-03,1 Months,#6df07b,Empty,,,
02-7689988,1193245,1790634,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,950,INR,2022-06-13,2021-01-26,17 Months,#7ad5f5,Empty,,,
88-0360257,1740408,1107428,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,950,INR,2023-05-12,2020-05-13,36 Months,#07eab0,Empty,,,
87-8344152,1250076,1334421,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,950,INR,2022-04-24,2022-05-21,1 Months,#8c97d0,Empty,,,
10-7570227,1616625,1823789,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,350,INR,2020-06-30,2021-03-20,9 Months,#67e611,Empty,,,
92-5620185,1428429,1224106,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,950,INR,2021-04-13,2022-06-07,14 Months,#71ac35,Empty,,,
22-0556513,1272219,2393048,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,650,INR,2023-04-19,2021-09-30,19 Months,#61e612,Empty,,,
86-7215759,1771414,32412,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,650,INR,2020-05-07,2022-03-01,22 Months,#9eb624,Empty,,,
20-8416494,1666563,366548,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,1500,INR,2021-02-19,2020-03-12,11 Months,#d2953e,Empty,,,
24-3240628,1847764,730165,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,950,INR,2023-05-27,2019-04-26,50 Months,#a0ef92,Empty,,,
73-4241335,1138996,2216206,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,950,INR,2022-09-30,2019-06-09,40 Months,#d6429b,Empty,,,
57-1132344,1578742,1472017,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,950,INR,2021-11-22,2022-02-10,3 Months,#fdddf6,Empty,,,
53-0050152,1709277,1637385,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,350,INR,2022-09-20,2020-02-18,32 Months,#7a91cb,Empty,,,
95-4304590,1508823,2051099,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,350,INR,2021-04-25,2020-07-28,9 Months,#733eaf,Empty,,,
61-5450051,1323870,1898476,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,1500,INR,2020-10-06,2022-04-03,18 Months,#541d7d,Empty,,,
32-3732771,1414851,1033355,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,350,INR,2020-05-23,2022-01-06,20 Months,#9139af,Empty,,,
95-5976456,1764281,2155899,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,1500,INR,2020-10-17,2021-01-10,3 Months,#1276b6,Empty,,,
52-2146053,1291798,1436293,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,950,INR,2021-10-22,2019-06-22,28 Months,#089074,Empty,,,
61-9343359,1873969,2411860,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,950,INR,2020-06-23,2020-09-12,3 Months,#9846eb,Empty,,,
54-8839774,1888210,533820,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,350,INR,2021-05-21,2019-06-02,24 Months,#c02a97,Empty,,,
91-9973737,1547494,1846988,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,950,INR,2023-08-16,2020-11-01,34 Months,#3f199c,Empty,,,
62-7715222,1674114,2364257,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,350,INR,2021-08-24,2020-08-21,12 Months,#9c113d,Empty,,,
98-1492777,1330233,934381,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,1500,INR,2021-08-12,2022-09-16,13 Months,#6026e4,Empty,,,
93-3061792,1443666,104285,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,650,INR,2020-07-01,2019-07-30,11 Months,#aacd1d,Empty,,,
15-4853709,1574283,2092228,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,950,INR,2021-03-03,2020-04-22,11 Months,#26ca4a,Empty,,,
36-9510053,1866940,425606,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,1500,INR,2021-07-03,2021-01-12,6 Months,#1327ef,Empty,,,
