UserId,EventType,SessionStart,Timezone,Subscribed,Platform,PartnerId,ApplicationVersion,Location,Hardware,OperatingSystem,PremiumContentType,NetworkType,ConnectionSpeed,VideoType,PlayerName,PlayerVersion,ContentFormat,DRM,CDN,DeliveryProtocol,Playing_rate,StartingBitrate,Video_resolution,Start_position,End_position,DeviceId,Video_position,Duration
jeffreylewis,pause,2021-03-28 12:54:12,Africa/Douala,TRUE,FireTV,hotstar,2.7,Bhimavaram,FireTV,Android,No,Mobile,93.29637905,Series,,,HLS,Widevine,Akamai,Cloudfront,,7.6,2K,00:25,00:57,407ta-N84G2-9o5LH-DP8Qe,00:56,1848
jessica41,stop,2021-01-02 04:12:17,America/Montevideo,TRUE,Browser,hotstar,2.5,Phagwara,PC/Laptop,MacOS,Yes,DSL,23.81511078,Series,,,DASH,PlayReady,Cloudfront,Cloudfront,,5.5,480p,00:29,00:41,856cp-i25o9-9u3YO-JL8YY,00:34,307
justin83,play,2021-07-06 17:12:01,Africa/Harare,FALSE,Android,hotstar,4.9,Ranchi,Android Phone,Android,Yes,Mobile,57.4098366,Series,,,HLS,PlayReady,Akamai,Cloudfront,,8.7,720p,00:26,00:48,962gJ-n52j8-8F9Jl-Gy3UV,00:38,730
michael21,skip,2021-09-29 23:07:07,America/Nassau,FALSE,FireTV,hotstar,4,Vadodara,FireTV,Android,Yes,DSL,85.31037794,Movie,,,DASH,PlayReady,Akamai,Akamai,,9.4,480p,01:22,02:00,347Vt-F15u7-6W3zh-Ki8BY,01:59,2188
parker98,play,2021-05-10 01:51:44,Africa/Blantyre,FALSE,iOS,hotstar,1.9,Gandhinagar,iPhone,iOS,No,DSL,6.874632416,Movie,,,HLS,Widevine,Akamai,Akamai,,9.9,720p,00:42,02:35,464Mg-D08Q1-6B0iD-ve1mH,01:36,3239
blakewilliam,stop,2021-03-28 18:36:25,Europe/Minsk,TRUE,Android,hotstar,4.2,Bhiwandi,Android TV,Android,Yes,Mobile,97.74382568,Documentary,,,DASH,Widevine,Cloudfront,Cloudfront,,8.3,480p,00:02,01:01,453mG-D33K5-4B3tX-yO9Tm,00:07,319
nwhite,pause,2021-01-24 19:31:30,Africa/Maputo,FALSE,Android,hotstar,1.2,Dhule,Android TV,Android,Yes,DSL,91.97162334,Documentary,,,HLS,Widevine,Akamai,Cloudfront,,8.3,480p,00:25,01:02,916NX-M71c7-2B7CO-FT0nc,00:59,2074
gary57,stop,2021-03-05 01:11:22,Africa/Asmera,FALSE,FireTV,hotstar,4.9,Thrissur,FireTV,Android,No,DSL,60.72869035,Documentary,,,DASH,PlayReady,Cloudfront,Cloudfront,,5.7,480p,01:06,01:12,375Ss-m06J3-2g7wN-HH0Za,01:07,51
hfrank,play,2021-05-25 17:57:43,Asia/Qatar,FALSE,FireTV,sonyliv,6.5,Hisar,FireTV,Android,Yes,DSL,26.54438367,Documentary,,,HLS,PlayReady,Cloudfront,Akamai,,8.7,720p,00:55,01:07,866ZQ-s83T2-4y3OQ-Wg0eB,00:55,18
douglas42,stop,2021-04-08 10:45:46,Europe/Berlin,TRUE,iOS,hotstar,2,Jalandhar,iPhone,iOS,No,Mobile,3.397883371,Movie,,,HLS,Widevine,Cloudfront,Akamai,,7.6,480p,02:36,02:52,191ik-b99P6-8z6uu-Jm3Ls,02:40,216
lorihernandez,skip,2021-08-11 19:34:41,Atlantic/Reykjavik,FALSE,Browser,hotstar,6.5,Hajipur[27],PC/Laptop,Linux/Unix,Yes,DSL,97.1857748,Movie,,,HLS,PlayReady,Akamai,Akamai,,9.9,2K,02:09,02:21,607sz-d57l1-4b5MO-FP7wu,02:18,559
ymanning,pause,2021-02-20 03:09:25,Africa/Luanda,TRUE,Android,hotstar,1.4,Gaya,Android TV,Android,No,Mobile,16.71173589,Series,,,DASH,Widevine,Cloudfront,Akamai,,7.7,720p,00:12,00:36,242cj-w82R1-2Y6iZ-LE7zI,00:34,1322
